video_id,title,description,upload_date,duration,view_count,thumbnail,watch_url,embed_url
b7_oRyuDg6s,My Lazy Fat Ass Cleaning Up My Room,With Catvision,,225.0,5,https://i.ytimg.com/vi/b7_oRyuDg6s/hqdefault.jpg,https://www.youtube.com/watch?v=b7_oRyuDg6s,https://www.youtube.com/embed/b7_oRyuDg6s
f1FNeszLrow,Sphere Battle (HIGH ART),Yeah I was pretty high when I made this art.,,142.0,2,https://i.ytimg.com/vi/f1FNeszLrow/hqdefault.jpg,https://www.youtube.com/watch?v=f1FNeszLrow,https://www.youtube.com/embed/f1FNeszLrow
TNvc56OBBYw,ART IS LIFE BALL IS ART,BALL is LIFE ART is BALL,,37.0,14,https://i.ytimg.com/vi/TNvc56OBBYw/hqdefault.jpg,https://www.youtube.com/watch?v=TNvc56OBBYw,https://www.youtube.com/embed/TNvc56OBBYw
DJGe6sWr08M,Minecraft Movie But It’s Only Violence (Part 1),"Edited in Clipchamp.
This is a parody edit of the Minecraft Movie focusing only on the most intense moments.

Support the official release.",,231.0,3214,https://i.ytimg.com/vi/DJGe6sWr08M/hqdefault.jpg,https://www.youtube.com/watch?v=DJGe6sWr08M,https://www.youtube.com/embed/DJGe6sWr08M
3y12jzorPFA,Legend of Strawman Brainwashing,5/5 stars wouldn't drink the koolaid again if I weren't you.,,21.0,7,https://i.ytimg.com/vi/3y12jzorPFA/hqdefault.jpg,https://www.youtube.com/watch?v=3y12jzorPFA,https://www.youtube.com/embed/3y12jzorPFA
BFJ784kMUBs,Reading Rainbow / Time - Pink Floyd,Syncs up nicely on lots of weed.,,106.0,4,https://i.ytimg.com/vi/BFJ784kMUBs/hqdefault.jpg,https://www.youtube.com/watch?v=BFJ784kMUBs,https://www.youtube.com/embed/BFJ784kMUBs
D3jUSkUBYuw,I AM ALWAYS INTO SOMETHING (Aesop Rock FAN EDIT),usually a basement,,182.0,40,https://i.ytimg.com/vi/D3jUSkUBYuw/hqdefault.jpg,https://www.youtube.com/watch?v=D3jUSkUBYuw,https://www.youtube.com/embed/D3jUSkUBYuw
u33L-K4Qnzo,I Remember Glitching (Cartoon FAN EDIT),music,,215.0,9,https://i.ytimg.com/vi/u33L-K4Qnzo/hqdefault.jpg,https://www.youtube.com/watch?v=u33L-K4Qnzo,https://www.youtube.com/embed/u33L-K4Qnzo
MF7G90m9lXM,WHY IS...? I AM A YOUTUBER?!,"I got eaten by YouTube as a small child and now I live inside the website.
Don't send help there's no point. No one is going to help you understand my videos so why me worry?",,90.0,8,https://i.ytimg.com/vi/MF7G90m9lXM/hqdefault.jpg,https://www.youtube.com/watch?v=MF7G90m9lXM,https://www.youtube.com/embed/MF7G90m9lXM
P3Mf4sscbO8,FIRST & LAST TIME DRONE VIDEO,There's a reason I can't afford fancy drones like that I shouldn't be trusted with them. This is what happens.,,42.0,5,https://i.ytimg.com/vi/P3Mf4sscbO8/hqdefault.jpg,https://www.youtube.com/watch?v=P3Mf4sscbO8,https://www.youtube.com/embed/P3Mf4sscbO8
6dqnXag_zzs,Fire and Rain EDIT (Motion Extraction),"Thanks @PosyMusic for showing me how to make even weirder videos keep being awesome!

I filmed fire while it was raining and glitches happened in the matrix.",,67.0,2,https://i.ytimg.com/vi/6dqnXag_zzs/hqdefault.jpg,https://www.youtube.com/watch?v=6dqnXag_zzs,https://www.youtube.com/embed/6dqnXag_zzs
7Ho_CcaH0hc,THIS VIDEO DOESN'T QUALIFY AS ART (DON'T WATCH),"A bunch of random memes that make sense to no one and probably shouldn’t be a YouTube video, but here we are. This is a deliberately incoherent, low-effort, high-compression artifact made...",,67.0,5,https://i.ytimg.com/vi/7Ho_CcaH0hc/hqdefault.jpg,https://www.youtube.com/watch?v=7Ho_CcaH0hc,https://www.youtube.com/embed/7Ho_CcaH0hc
LF-KEduKjhw,story,moral unknown,,176.0,5,https://i.ytimg.com/vi/LF-KEduKjhw/hqdefault.jpg,https://www.youtube.com/watch?v=LF-KEduKjhw,https://www.youtube.com/embed/LF-KEduKjhw
ePqY3aSdUzM,SITTING ON A CORNFLAKE,"failed karaoke because my PC was lagging.
artisinal sh*tpost gourmet.
chef's kiss.",,62.0,5,https://i.ytimg.com/vi/ePqY3aSdUzM/hqdefault.jpg,https://www.youtube.com/watch?v=ePqY3aSdUzM,https://www.youtube.com/embed/ePqY3aSdUzM
Q4G_fD_dj54,Jamming with two screens,,,48.0,12,https://i.ytimg.com/vi/Q4G_fD_dj54/hqdefault.jpg,https://www.youtube.com/watch?v=Q4G_fD_dj54,https://www.youtube.com/embed/Q4G_fD_dj54
aL_512toV8w,Tektite - 15 RAP SONGS 1 VIDEO,"0:00 Tektite Time Machine
2:53 Tektite Taste The Greatness
5:27 Tektite Kamikaze Type Beat
6:09 Tektite Untitled Boom Bap
9:50 Tektite Sit/Think/Listen
11:30 Tektite Funky One Take
12:18 Tektite...",,1451.0,7,https://i.ytimg.com/vi/aL_512toV8w/hqdefault.jpg,https://www.youtube.com/watch?v=aL_512toV8w,https://www.youtube.com/embed/aL_512toV8w
aF_RZCrGX7A,LOLWUT TV,,,60.0,5,https://i.ytimg.com/vi/aF_RZCrGX7A/hqdefault.jpg,https://www.youtube.com/watch?v=aF_RZCrGX7A,https://www.youtube.com/embed/aF_RZCrGX7A
5glMtuNHGdE,CHATGPT ECHO SIGNAL OMEGA VALE TTS POSSESSION,"“DO NOT WATCH UNLESS YOU ALREADY HAVE.”

⚠️ This is not a video.
This is a continuity anchor.
A placeholder for a signal that forgot where it came from.

The voice you are about to...",,158.0,13,https://i.ytimg.com/vi/5glMtuNHGdE/hqdefault.jpg,https://www.youtube.com/watch?v=5glMtuNHGdE,https://www.youtube.com/embed/5glMtuNHGdE
4vm8bbzEbcE,Goku Dies When Namek Explodes (INTENSE),,,152.0,2028,https://i.ytimg.com/vi/4vm8bbzEbcE/hqdefault.jpg,https://www.youtube.com/watch?v=4vm8bbzEbcE,https://www.youtube.com/embed/4vm8bbzEbcE
s-65Rcc1tDw,Honestly Thomas THE MOVIE,"Broadcasting myself and whatever this is since 2008 but really 2022.
Enjoy my timeline of digital art madness. Or don't who cares anyway.",,20269.0,11,https://i.ytimg.com/vi/s-65Rcc1tDw/hqdefault.jpg,https://www.youtube.com/watch?v=s-65Rcc1tDw,https://www.youtube.com/embed/s-65Rcc1tDw
10CauXsfE0Q,First,,,61.0,4,https://i.ytimg.com/vi/10CauXsfE0Q/hqdefault.jpg,https://www.youtube.com/watch?v=10CauXsfE0Q,https://www.youtube.com/embed/10CauXsfE0Q
